"level_id","n_clusters","cluster_size","icc","mu","model_type","n_reps","var_delta","bias_delta","mse_delta","ci_coverage","conv_rate","tau","mean_outcome"
36,100,100,0.05,-3.49573227355399,"log",100,0.0119021777789459,0.0022100718364026,0.0117880404186785,0.95,0.88,0.229415733870562,0.0311351932423875
37,10,500,0.05,-3.49573227355399,"log",100,0.0504123068378615,-0.00728516050273307,0.0499612573330335,0.85,0.73,0.229415733870562,0.0311351932423875
38,26,500,0.05,-3.49573227355399,"log",100,0.0171764313885756,0.00696484324412878,0.0170531761161051,0.92,0.96,0.229415733870562,0.0311351932423875
39,76,500,0.05,-3.49573227355399,"log",100,0.00476223988799986,0.00421626048592208,0.00473239434160501,0.95,1,0.229415733870562,0.0311351932423875
40,100,500,0.05,-3.49573227355399,"log",100,0.00330492244297835,0.00117183941007505,0.00327324642615157,0.94,1,0.229415733870562,0.0311351932423875
41,10,10,0.1,-3.49573227355399,"log",100,97.3835482738463,2.05453704261213,100.568675538909,0.946808510638298,0.117021276595745,0.333333333333333,0.0320590194214977
42,26,10,0.1,-3.49573227355399,"log",100,4.39911106169284,0.341838300237121,4.47152901993222,0.94949494949495,0.343434343434343,0.333333333333333,0.0320590194214977
43,76,10,0.1,-3.49573227355399,"log",100,0.122000159192458,0.101620201233484,0.131106822899267,0.94,0.59,0.333333333333333,0.0320590194214977
44,100,10,0.1,-3.49573227355399,"log",100,0.101492418073379,-0.0168683893782116,0.10076203645286,0.95,0.51,0.333333333333333,0.0320590194214977
45,10,20,0.1,-3.49573227355399,"log",100,16.5830654814988,0.385139832891696,16.5655675175636,0.97,0.23,0.333333333333333,0.0320590194214977
46,26,20,0.1,-3.49573227355399,"log",100,0.209637122537509,-0.0729360740146193,0.2128604222048,0.96,0.43,0.333333333333333,0.0320590194214977
47,76,20,0.1,-3.49573227355399,"log",100,0.0516748827518569,0.0143975693811464,0.0513654239284233,0.97,0.65,0.333333333333333,0.0320590194214977
48,100,20,0.1,-3.49573227355399,"log",100,0.0647199900094806,-0.0150069000977333,0.0642979971599291,0.92,0.63,0.333333333333333,0.0320590194214977
49,10,50,0.1,-3.49573227355399,"log",100,0.288804099081059,0.0468383003638968,0.288109884471227,0.91,0.43,0.333333333333333,0.0320590194214977
50,26,50,0.1,-3.49573227355399,"log",100,0.0807621979314367,0.0387631350741428,0.0814571565928985,0.88,0.59,0.333333333333333,0.0320590194214977
51,76,50,0.1,-3.49573227355399,"log",100,0.0290370266913802,0.0146875584434508,0.0289623807974962,0.92,0.8,0.333333333333333,0.0320590194214977
52,100,50,0.1,-3.49573227355399,"log",100,0.0258607087099121,0.019836986247962,0.0259956076462148,0.91,0.87,0.333333333333333,0.0320590194214977
53,10,100,0.1,-3.49573227355399,"log",100,0.183863757334567,0.00404406620952293,0.182041474232728,0.9,0.6,0.333333333333333,0.0320590194214977
54,26,100,0.1,-3.49573227355399,"log",100,0.0459526653240656,-0.000256140418557731,0.045493204278739,0.96,0.81,0.333333333333333,0.0320590194214977
55,76,100,0.1,-3.49573227355399,"log",100,0.018326958059545,0.00908338082037544,0.0182261962860776,0.92,0.98,0.333333333333333,0.0320590194214977
56,100,100,0.1,-3.49573227355399,"log",100,0.015689101475556,0.00385430972611981,0.0155470661642653,0.91,0.97,0.333333333333333,0.0320590194214977
57,10,500,0.1,-3.49573227355399,"log",100,0.0622460487153524,0.00247186339353688,0.0616296983368352,0.95,0.93,0.333333333333333,0.0320590194214977
58,26,500,0.1,-3.49573227355399,"log",100,0.0300804346443312,-0.00113806837292017,0.0297809254975093,0.92,1,0.333333333333333,0.0320590194214977
59,76,500,0.1,-3.49573227355399,"log",100,0.00847604311249763,-0.0123188358655382,0.00854303639845473,0.93,1,0.333333333333333,0.0320590194214977
60,100,500,0.1,-3.49573227355399,"log",100,0.006106455574235,-0.00605289284467382,0.00608202853028175,0.93,1,0.333333333333333,0.0320590194214977
61,10,10,0.15,-3.49573227355399,"log",100,132.425140055994,1.86840854062569,134.507312444975,0.957446808510638,0.117021276595745,0.420084025208403,0.0331240067696963
62,26,10,0.15,-3.49573227355399,"log",100,4.08877801136982,0.266208278149653,4.11834407073159,0.94949494949495,0.363636363636364,0.420084025208403,0.0331240067696963
63,76,10,0.15,-3.49573227355399,"log",100,0.144489789311096,0.0107845092163597,0.143146602128809,0.919191919191919,0.515151515151515,0.420084025208403,0.0331240067696963
